state,event_year,total_crashes,total_injuries
Louisiana,2020,23,23
Maine,2020,6,2
Maryland,2020,12,0
Massachusetts,2020,8,3
Michigan,2020,22,14
Minnesota,2020,26,19
Mississippi,2020,7,1
Missouri,2020,24,10
Montana,2020,19,18
Nebraska,2020,9,6
Nevada,2020,22,17
New Hampshire,2020,6,3
New Jersey,2020,6,1
New Mexico,2020,8,5
New York,2020,25,17
North Carolina,2020,30,42
North Dakota,2020,6,3
Ohio,2020,22,8
Oklahoma,2020,18,14
Oregon,2020,23,12
Other Foreign,2020,0,0
Pacific Ocean,2020,1,0
Pennsylvania,2020,19,9
Puerto Rico,2020,4,3
Rhode Island,2020,2,1
South Carolina,2020,13,15
South Dakota,2020,7,4
Tennessee,2020,24,15
Texas,2020,115,91
Utah,2020,22,30
Vermont,2020,3,2
Virginia,2020,15,6
Washington,2020,28,24
West Virginia,2020,1,1
Wisconsin,2020,14,7
Wyoming,2020,9,34
Alabama,2021,15,7
Alaska,2021,92,46
Arizona,2021,44,35
Arkansas,2021,19,20
Atlantic Ocean,2021,1,1
California,2021,93,88
Caribbean Sea,2021,1,4
Colorado,2021,47,32
Connecticut,2021,5,10
Delaware,2021,0,0
District of Columbia,2021,0,0
Florida,2021,97,87
Georgia,2021,37,30
Gulf of Mexico,2021,0,0
Hawaii,2021,5,5
Idaho,2021,39,20
Illinois,2021,18,8
Indiana,2021,21,10
Iowa,2021,16,10
Kansas,2021,15,8
Kentucky,2021,11,9
Louisiana,2021,23,24
Maine,2021,3,0
Maryland,2021,10,3
Massachusetts,2021,10,13
Michigan,2021,29,23
Minnesota,2021,12,8
Mississippi,2021,11,13
Missouri,2021,15,9
Montana,2021,17,14
Nebraska,2021,9,12
Nevada,2021,19,5
New Hampshire,2021,5,7
New Jersey,2021,17,10
New Mexico,2021,17,21
New York,2021,24,21
North Carolina,2021,41,35
North Dakota,2021,6,5
Ohio,2021,26,14
Oklahoma,2021,17,17
Oregon,2021,36,16
Other Foreign,2021,0,0
Pacific Ocean,2021,0,0
Pennsylvania,2021,28,15
Puerto Rico,2021,0,0
Rhode Island,2021,1,0
South Carolina,2021,22,17
South Dakota,2021,2,0
Tennessee,2021,20,24
Texas,2021,97,88
Utah,2021,22,13
Vermont,2021,4,1
Virginia,2021,18,10
Washington,2021,41,28
West Virginia,2021,4,3
Wisconsin,2021,25,22
Wyoming,2021,5,0
Alabama,2022,21,13
Alaska,2022,84,43
Arizona,2022,53,35
Arkansas,2022,20,10
Atlantic Ocean,2022,1,1
California,2022,111,87
Caribbean Sea,2022,0,0
Colorado,2022,33,30
Connecticut,2022,5,3
Delaware,2022,1,0
District of Columbia,2022,0,0
Florida,2022,82,84
Georgia,2022,41,27
Gulf of Mexico,2022,0,0
Hawaii,2022,13,47
Idaho,2022,27,20
Illinois,2022,30,14
Indiana,2022,21,6
Iowa,2022,13,7
Kansas,2022,14,10
Kentucky,2022,15,9
Louisiana,2022,17,20
Maine,2022,5,7
Maryland,2022,16,11
Massachusetts,2022,11,4
Michigan,2022,16,11
Minnesota,2022,24,15
Mississippi,2022,9,2
Missouri,2022,19,17
Montana,2022,14,9
Nebraska,2022,14,8
Nevada,2022,21,19
New Hampshire,2022,5,6
New Jersey,2022,14,16
New Mexico,2022,16,10
New York,2022,26,14
North Carolina,2022,30,39
North Dakota,2022,7,5
Ohio,2022,30,25
Oklahoma,2022,22,18
Oregon,2022,24,16
Other Foreign,2022,0,0
Pacific Ocean,2022,0,0
Pennsylvania,2022,35,21
Puerto Rico,2022,3,0
Rhode Island,2022,1,0
South Carolina,2022,21,11
South Dakota,2022,6,4
Tennessee,2022,26,15
Texas,2022,118,81
Utah,2022,28,21
Vermont,2022,1,1
Virginia,2022,22,11
Washington,2022,35,34
West Virginia,2022,5,11
Wisconsin,2022,23,16
Wyoming,2022,13,9
Alabama,1981,0,0
Alaska,1981,0,0
Arizona,1981,0,0
Arkansas,1981,0,0
Atlantic Ocean,1981,0,0
California,1981,0,0
Caribbean Sea,1981,0,0
Colorado,1981,0,0
Connecticut,1981,0,0
Delaware,1981,0,0
District of Columbia,1981,0,0
Florida,1981,0,0
Georgia,1981,0,0
Gulf of Mexico,1981,0,0
Hawaii,1981,0,0
Idaho,1981,0,0
Illinois,1981,0,0
Indiana,1981,0,0
Iowa,1981,0,0
Kansas,1981,0,0
Kentucky,1981,0,0
Louisiana,1981,0,0
Maine,1981,0,0
Maryland,1981,0,0
Massachusetts,1981,0,0
Michigan,1981,0,0
Minnesota,1981,1,4
Mississippi,1981,0,0
Missouri,1981,0,0
Montana,1981,0,0
Nebraska,1981,0,0
Nevada,1981,0,0
New Hampshire,1981,0,0
New Jersey,1981,0,0
New Mexico,1981,0,0
New York,1981,0,0
North Carolina,1981,0,0
North Dakota,1981,0,0
Ohio,1981,0,0
Oklahoma,1981,0,0
Oregon,1981,0,0
Other Foreign,1981,0,0
Pacific Ocean,1981,0,0
Pennsylvania,1981,0,0
Puerto Rico,1981,0,0
Rhode Island,1981,0,0
South Carolina,1981,0,0
South Dakota,1981,0,0
Tennessee,1981,0,0
Texas,1981,0,0
Utah,1981,0,0
Vermont,1981,0,0
Virginia,1981,0,0
Washington,1981,0,0
West Virginia,1981,0,0
Wisconsin,1981,0,0
Wyoming,1981,0,0
